 ,states,states_code,id,year,population
1,Yerevan,AM-ER,1,2011,1060138
2,Yerevan,AM-ER,1,2012,1061044
3,Yerevan,AM-ER,1,2013,1066264
4,Yerevan,AM-ER,1,2014,1068306
5;Yerevan;AM-ER;1;2015;1071511
6;Yerevan;AM-ER;1;2016;1073660
7;Yerevan;AM-ER;1;2017;1075841
8;Yerevan;AM-ER;1;2018;1077590
9;Yerevan;AM-ER;1;2019;1081874
10;Yerevan;AM-ER;1;2020;1084024
11;Yerevan;AM-ER;1;2021;1091747
12;Yerevan;AM-ER;1;2022;1092778
13;Yerevan;AM-ER;1;2023;1098866
14;Aragatsotn;AM-AG;2;2011;132925
15;Aragatsotn;AM-AG;2;2012;133063
16;Aragatsotn;AM-AG;2;2013;133070
17;Aragatsotn;AM-AG;2;2014;132305
18;Aragatsotn;AM-AG;2;2015;131332
19;Aragatsotn;AM-AG;2;2016;129774
20;Aragatsotn;AM-AG;2;2017;128518
21;Aragatsotn;AM-AG;2;2018;127146
22;Aragatsotn;AM-AG;2;2019;125440
23;Aragatsotn;AM-AG;2;2020;124721
24;Aragatsotn;AM-AG;2;2021;124446
25;Aragatsotn;AM-AG;2;2022;124646
26;Aragatsotn;AM-AG;2;2023;125687
27;Ararat;AM-AR;3;2011;260367
28;Ararat;AM-AR;3;2012;260634
29;Ararat;AM-AR;3;2013;261335
30;Ararat;AM-AR;3;2014;260787
31;Ararat;AM-AR;3;2015;260102
32;Ararat;AM-AR;3;2016;258911
33;Ararat;AM-AR;3;2017;258407
34;Ararat;AM-AR;3;2018;257804
35;Ararat;AM-AR;3;2019;256688
36;Ararat;AM-AR;3;2020;256570
37;Ararat;AM-AR;3;2021;256630
38;Ararat;AM-AR;3;2022;256615
39;Ararat;AM-AR;3;2023;259277
40;Armavir;AM-AV;4;2011;265770
41;Armavir;AM-AV;4;2012;266151
42;Armavir;AM-AV;4;2013;267101
43;Armavir;AM-AV;4;2014;267187
44;Armavir;AM-AV;4;2015;267002
45;Armavir;AM-AV;4;2016;266613
46;Armavir;AM-AV;4;2017;265759
47;Armavir;AM-AV;4;2018;264617
48;Armavir;AM-AV;4;2019;263900
49;Armavir;AM-AV;4;2020;263863
50;Armavir;AM-AV;4;2021;263944
51;Armavir;AM-AV;4;2022;264383
52;Armavir;AM-AV;4;2023;266656
53;Gegharkunik;AM-GR;5;2011;235075
54;Gegharkunik;AM-GR;5;2012;235380
55;Gegharkunik;AM-GR;5;2013;235587
56;Gegharkunik;AM-GR;5;2014;234079
57;Gegharkunik;AM-GR;5;2015;232988
58;Gegharkunik;AM-GR;5;2016;231794
59;Gegharkunik;AM-GR;5;2017;230715
60;Gegharkunik;AM-GR;5;2018;229711
61;Gegharkunik;AM-GR;5;2019;228256
62;Gegharkunik;AM-GR;5;2020;227632
63;Gegharkunik;AM-GR;5;2021;227269
64;Gegharkunik;AM-GR;5;2022;227778
65;Gegharkunik;AM-GR;5;2023;228711
66;Lori;AM-LO;6;2011;235537
67;Lori;AM-LO;6;2012;235660
68;Lori;AM-LO;6;2013;234663
69;Lori;AM-LO;6;2014;230760
70;Lori;AM-LO;6;2015;227999
71;Lori;AM-LO;6;2016;224954
72;Lori;AM-LO;6;2017;221098
73;Lori;AM-LO;6;2018;217363
74;Lori;AM-LO;6;2019;215471
75;Lori;AM-LO;6;2020;213315
76;Lori;AM-LO;6;2021;212566
77;Lori;AM-LO;6;2022;211677
78;Lori;AM-LO;6;2023;211582
79;Kotayk;AM-KT;7;2011;254397
80;Kotayk;AM-KT;7;2012;254616
81;Kotayk;AM-KT;7;2013;255353
82;Kotayk;AM-KT;7;2014;254997
83;Kotayk;AM-KT;7;2015;254990
84;Kotayk;AM-KT;7;2016;253898
85;Kotayk;AM-KT;7;2017;252830
86;Kotayk;AM-KT;7;2018;251598
87;Kotayk;AM-KT;7;2019;251609
88;Kotayk;AM-KT;7;2020;250909
89;Kotayk;AM-KT;7;2021;251177
90;Kotayk;AM-KT;7;2022;251076
91;Kotayk;AM-KT;7;2023;253857
92;Shirak;AM-SH;8;2011;251941
93;Shirak;AM-SH;8;2012;252093
94;Shirak;AM-SH;8;2013;251267
95;Shirak;AM-SH;8;2014;248381
96;Shirak;AM-SH;8;2015;246409
97;Shirak;AM-SH;8;2016;243152
98;Shirak;AM-SH;8;2017;239278
99;Shirak;AM-SH;8;2018;235380
100;Shirak;AM-SH;8;2019;233245
101;Shirak;AM-SH;8;2020;231365
102;Shirak;AM-SH;8;2021;230963
103;Shirak;AM-SH;8;2022;230340
104;Shirak;AM-SH;8;2023;230476
105;Syunik;AM-SU;9;2011;141771
106;Syunik;AM-SU;9;2012;141747
107;Syunik;AM-SU;9;2013;141645
108;Syunik;AM-SU;9;2014;141001
109;Syunik;AM-SU;9;2015;140182
110;Syunik;AM-SU;9;2016;139471
111;Syunik;AM-SU;9;2017;138953
112;Syunik;AM-SU;9;2018;138397
113;Syunik;AM-SU;9;2019;137574
114;Syunik;AM-SU;9;2020;137312
115;Syunik;AM-SU;9;2021;135851
116;Syunik;AM-SU;9;2022;134731
117;Syunik;AM-SU;9;2023;134555
118;VayotsDzor;AM-VD;10;2011;52324
119;VayotsDzor;AM-VD;10;2012;52367
120;VayotsDzor;AM-VD;10;2013;52252
121;VayotsDzor;AM-VD;10;2014;51702
122;VayotsDzor;AM-VD;10;2015;51406
123;VayotsDzor;AM-VD;10;2016;50836
124;VayotsDzor;AM-VD;10;2017;50277
125;VayotsDzor;AM-VD;10;2018;49633
126;VayotsDzor;AM-VD;10;2019;48970
127;VayotsDzor;AM-VD;10;2020;48508
128;VayotsDzor;AM-VD;10;2021;48124
129;VayotsDzor;AM-VD;10;2022;47584
130;VayotsDzor;AM-VD;10;2023;47661
131;Tavush;AM-TV;11;2011;128609
132;Tavush;AM-TV;11;2012;128621
133;Tavush;AM-TV;11;2013;128342
134;Tavush;AM-TV;11;2014;127574
135;Tavush;AM-TV;11;2015;126677
136;Tavush;AM-TV;11;2016;125514
137;Tavush;AM-TV;11;2017;124475
138;Tavush;AM-TV;11;2018;123493
139;Tavush;AM-TV;11;2019;122242
140;Tavush;AM-TV;11;2020;121475
141;Tavush;AM-TV;11;2021;120534
142;Tavush;AM-TV;11;2022;119759
143;Tavush;AM-TV;11;2023;119802
